company_name,symbol,scripcode
Shree Rama Newsprint Ltd.,RAMANEWS,500356.0
Rama Paper Mills Ltd.,,500357.0
Rama Petrochemicals Ltd.,RAMAPETRO,500358.0
Rapicut Carbides Ltd.,,500360.0
Welspun Specialty Solutions Ltd.,REMIMETAL,500365.0
Rolta India Ltd.,ROLTA,500366.0
Rubfila International Ltd.,RUBFILINTL,500367.0
Patanjali Foods Ltd.,PATANJALI,500368.0
Salora International Ltd.,SALORAINTL,500370.0
Jindal Saw Ltd.,JINDALSAW,500378.0
JK Lakshmi Cement Ltd.,JKLAKSHMI,500380.0
Shree Cement Ltd.,SHREECEM,500387.0
Shree Krishna Paper Mills & Industries Ltd.,,500388.0
Reliance Infrastructure Ltd.,RELINFRA,500390.0
Tata Power Company Ltd.,TATAPOWER,500400.0
SPML Infra Ltd.,SPMLINFRA,500402.0
Sundram Fasteners Ltd.,SUNDRMFAST,500403.0
Sunflag Iron And Steel Company Ltd.,SUNFLAG,500404.0
Supreme Petrochem Ltd.,SPLPETRO,500405.0
Swaraj Engines Ltd.,SWARAJENG,500407.0
Tata Elxsi Ltd.,TATAELXSI,500408.0
ACC Ltd.,ACC,500410.0
Thermax Ltd.,THERMAX,500411.0
Thirumalai Chemicals Ltd.,TIRUMALCHM,500412.0
Thomas Cook (India) Ltd.,THOMASCOOK,500413.0
Timex Group India Ltd.,TIMEXWATCH,500414.0
Tokyo Plast International Ltd.,TOKYOPLAST,500418.0
Torrent Pharmaceuticals Ltd.,TORNTPHARM,500420.0
TPI India Ltd.,TPINDIA,500421.0
Transchem Ltd.,TRANSCHEM,500422.0
Ambuja Cements Ltd.,AMBUJACEM,500425.0
UTL Industries Ltd.,,500426.0
Uniphos Enterprises Ltd.,UNIENTER,500429.0
Vardhman Holdings Ltd.,VHL,500439.0
Hindalco Industries Ltd.,HINDALCO,500440.0
West Coast Paper Mills Ltd.,WSTCSTPAPR,500444.0
Hindustan Organic Chemicals Ltd.,HOCL,500449.0
MPIL Corporation Ltd.,MATHPLATT,500450.0
Pasupati Acrylon Ltd.,PASUPTAC,500456.0
Kore Foods Ltd.,PHILCORP,500458.0
Procter & Gamble Hygiene and Health Care Ltd.,PGHH,500459.0
Mukand Ltd.,MUKANDLTD,500460.0
Black Box Ltd.,BBOX,500463.0
UCAL Ltd.,UCAL,500464.0
Harrisons Malayalam Ltd.,HARRMALAYA,500467.0
The Federal Bank Ltd.,FEDERALBNK,500469.0
Tata Steel Ltd.,TATASTEEL,500470.0
SKF India Ltd.,SKFINDIA,500472.0
Ashok Leyland Ltd.,ASHOKLEY,500477.0
Cummins India Ltd.,CUMMINSIND,500480.0
Tata Communications Ltd.,TATACOMM,500483.0
Abbott India Ltd.,ABBOTINDIA,500488.0
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,500490.0
Bharat Forge Ltd.,BHARATFORG,500493.0
Escorts Kubota Ltd.,ESCORTS,500495.0
Hindustan Motors Ltd.,HINDMOTORS,500500.0
Larsen & Toubro Ltd.,LT,500510.0
Mahindra & Mahindra Ltd.,M&M,500520.0
Bosch Ltd.,BOSCHLTD,500530.0
Premier Ltd.,PREMIER,500540.0
Bharat Petroleum Corporation Ltd.,BPCL,500547.0
Siemens Ltd.,SIEMENS,500550.0
Tata Motors Ltd.,TATAMOTORS,500570.0
Voltas Ltd.,VOLTAS,500575.0
The Great Eastern Shipping Company Ltd.,GESHIP,500620.0
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,500645.0
Excel Industries Ltd.,EXCELINDUS,500650.0
Garware Hi-Tech Films Ltd.,GRWRHITECH,500655.0
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,500660.0
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,500670.0
Novartis India Ltd.,NOVARTIND,500672.0
Sanofi India Ltd.,SANOFI,500674.0
Pfizer Ltd.,PFIZER,500680.0
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,500690.0
Hindustan Unilever Ltd.,HINDUNILVR,500696.0
Akzo Nobel India Ltd.,AKZOINDIA,500710.0
Nocil Ltd.,NOCIL,500730.0
Tata Chemicals Ltd.,TATACHEM,500770.0
Tamilnadu Petroproducts Ltd.,TNPETRO,500777.0
Zuari Industries Ltd.,ZUARIIND,500780.0
Nestle India Ltd.,NESTLEIND,500790.0
Tata Consumer Products Ltd.,TATACONSUM,500800.0
